CountryID,Country Name,WEBNAME,Region,World Rank,Region Rank,2022 Score,Property Rights,Judical Effectiveness,Government Integrity,Tax Burden,Gov't Spending,Fiscal Health,Business Freedom,Labor Freedom,Monetary Freedom,Trade Freedom,Investment Freedom ,Financial Freedom,Tariff Rate (%),Income Tax Rate (%),Corporate Tax Rate (%),Tax Burden % of GDP,Gov't Expenditure % of GDP ,Population (Millions),"GDP (Billions $, PPP)",GDP Growth Rate (%),5 Year GDP Growth Rate (%),"GDP per Capita (in $, PPP)",Unemployment (%),Inflation (%),FDI Inflow (Millions),Public Debt (% of GDP)
34,China,China,Asia-Pacific,158,35,48.00,43.70,37.40,39.30,71.20,64.20,11.10,68.80,57.20,70.00,73.20,20,20,3.40,45,25,15.20,34.50,1402.10,24142.80,2.30,5.70,17192,5.00,2.40,149342,66.80
35,Colombia,Colombia,Americas,60,12,65.10,50.90,59.10,42.00,71.30,66.00,56.70,68.80,60.70,79.30,76.40,80,70,6.80,39,31,19.70,33.70,50.90,728.80,-6.80,0.50,14324,15.40,2.50,7690,62.80
36,Comoros,Comoros,Sub-Saharan Africa,143,33,50.40,28.90,21.20,20.10,63.00,88.50,96.20,48.30,55.50,81.50,27.00,45,30,26.50,30,50,17.40,19.50,0.90,2.70,-0.50,2.50,3048,8.40,1.10,9,26.80
37,"Congo, Democratic Republic of the Congo",DemcoraticRepublicCongo,Sub-Saharan Africa,160,40,47.60,14.80,13.20,11.80,74.40,95.70,97.40,28.30,54.00,63.70,68.00,30,20,8.50,40,30,7.50,11.90,89.60,100.50,-0.10,3.30,1106,4.60,11.30,1647,15.20
38,"Congo, Republic of",RepublicCongo,Sub-Saharan Africa,155,37,48.50,30.40,14.90,13.40,82.40,86.00,80.00,29.50,43.30,80.50,56.40,35,30,11.80,30,28,8.50,21.60,5.50,19.60,-7.80,-6.00,4188,10.30,2.40,4016,101.70
39,Costa Rica,CostaRica,Americas,55,10,65.40,66.40,78.40,63.10,79.20,86.60,10.90,66.00,56.60,83.10,74.60,70,50,5.20,25,30,23.60,21.10,5.10,102.50,-4.80,1.60,19990,17.10,0.70,1711,68.30
40,Côte d'Ivoire,CoeDivoire,Sub-Saharan Africa,76,4,61.60,45.40,30.00,33.80,79.10,89.70,73.80,61.00,55.90,71.30,73.60,75,50,8.20,36,25,13.10,18.60,26.40,144.60,2.30,6.00,5365,3.50,2.50,509,45.70
41,Croatia,Croatia,Europe,45,27,67.60,81.10,69.90,50.00,82.80,26.30,75.20,72.40,58.70,80.50,79.20,75,60,2.90,30,18,22.20,49.60,4.00,112.10,-9.00,0.70,27717,7.20,0.30,1304,87.20
42,Cuba,Cuba,Americas,175,31,29.50,31.50,15.60,39.90,48.40,0.00,11.40,41.10,20.00,61.80,64.00,10,10,8.00,50,30,42.00,65.90,11.30,142.60,-11.00,-1.40,12600,3.90,n/a,n/a,69.40
43,Cyprus,Cyprus,Europe,23,16,72.90,85.60,90.90,62.90,80.30,44.30,71.20,74.90,66.40,83.90,79.20,75,60,2.90,35,13,24.20,43.10,1.20,35.50,-5.10,3.00,40107,7.20,-1.10,-3647,118.20
44,Czech Republic,CzechRepublic,Europe,21,14,74.40,88.80,81.80,59.60,78.90,44.70,93.20,80.60,56.50,79.00,79.20,70,80,2.90,23,19,34.90,42.90,10.70,434.40,-5.60,1.50,40618,2.90,3.20,6293,37.60
